65.78,112.99
71.52,136.49
69.40,153.03
68.22,142.34
67.79,144.30
63.96,156.88
72.20,148.05
65.42,135.88
80.01,173.42
57.39,118.91
68.75,156.01
65.99,127.55
72.63,146.12
66.75,135.98
79.10,181.22
73.95,166.87
68.21,141.47
67.05,142.96
63.45,132.23
75.02,172.31
58.74,119.97
85.08,191.62
70.37,151.89
66.80,141.03
69.10,145.26
68.20,139.47
73.25,159.99
70.12,154.61
62.89,128.75
80.16,181.95
75.88,175.00
62.30,149.78
69.84,145.62
74.10,171.39
77.55,185.78
66.20,128.70
73.01,152.05
70.99,155.22
69.05,141.97
68.20,137.50
62.43,128.88
34.18,159.97
55.85,161.36
63.54,144.78
85.11,189.33
69.24,152.07
68.75,149.80
68.90,139.54
70.52,146.15
71.60,163.47
68.25,150.25
64.72,137.43
75.33,178.89
59.06,126.57
72.50,160.21
69.77,162.05
63.48,140.24
66.66,138.63
66.20,133.10
69.43,140.77
67.62,143.20
62.88,140.15
74.10,176.50
68.84,147.26
67.66,144.88
62.47,128.03
80.11,184.45
69.50,145.67
73.26,170.03
76.52,187.00
70.90,156.23
68.05,143.75
67.10,144.60
63.98,152.10
61.39,136.02
68.25,147.55
70.90,147.80
66.66,138.63
69.43,140.77
67.62,143.20
62.88,140.15
74.10,176.50
68.84,147.26
67.66,144.88
62.47,128.03
80.11,184.45
69.50,145.67
73.26,170.03
76.52,187.00
70.90,156.23
68.05,143.75
67.10,144.60
63.98,152.10
61.39,136.02
68.25,147.55
63.90,133.11
33.69,155.99
55.05,164.25
64.00,149.49
86.35,186.34
69.52,164.63
68.45,173.86
68.70,123.30
69.80,141.49
70.01,136.46
68.70,123.30
69.80,141.49
